"09564c","44","44","43","43","46","47","44","43","50.14.232.202","1396"
"0d1a","30","30","30","30","30","30","30","30","67.149.120.83","2242"
"15a738","46","46","45","45","44","45","45","45","24.136.170.193","1510"
"17daab","23","23","22","22","22","22","21","21","98.243.51.236","1258"
"1cbd","17","17","19","19","18","16","17","17","70.162.20.65","2118"
"268328","15","15","15","15","17","15","19","19","74.183.118.3","2572"
"27f51b","41","41","41","41","41","42","37","36","68.60.124.32","1190"
"2dfc","37","37","35","34","33","33","31","31","74.218.174.90","1284"
"323e3c","6","6","6","6","5","6",\N,\N,\N,\N
"397aac","31","31","31","31","31","31","29","29","108.249.104.238","857"
"3d1f41","36","36","36","37","36","36","39","40","68.104.214.92","2723"
"3e1aef","16","16","17","17","16","18","13","13","173.21.78.179","1872"
"4096f1","43","43","44","44","43","46","42","42","69.27.217.15","1365"
"449abd","12","12","12","12","12","13","12","12","68.198.41.160","1780"
"467b","45","45","46","46","47","48",\N,\N,\N,\N
"619d16","53","53","53","53","52","52","46","47","73.168.133.154","612"
"65bf89","29","29","29","29","27","27","26","27","68.33.122.53","1766"
"679ab6","11","11","11","11","11","11","10","10","71.235.13.86","717"
"69de","42","42","42","42","42","43","43","44","65.216.78.188","1461"
"6ac6","10","10","9","9","8","9","7","6","74.243.161.236","2223"
"73109b","35","33","37","36","40","39","35","35","23.255.199.42","2111"
"7528","51","51","51","51","50","51","48","48","208.81.161.88","1859"
"8a2e","26","26","25","26","25","26","24","24","70.139.49.176","1901"
"8d84ad","21","21","21","21","21","21","18","18","75.178.88.99","2135"
"8fc42f","27","27","27","28","28","28","27","26","216.160.67.113","2147"
"908a","1","1","1","1","1","1","1","1","72.171.16.123","959"
"955e46","33","35","33","33","37","38","40","39","76.173.212.127","2726"
"9b31","20","20","20","20","20","20","20","20","99.169.254.87","2642"
"9bfc58","40","40","39","38","35","35","33","33","67.172.251.108","1507"
"a278","28","28","28","27","29","29","28","28","24.3.200.73","2323"
"a4c560","19","19","18","18","19","17","16","16","71.229.92.27","1931"
"a98556","50","50","50","50",\N,\N,\N,\N,\N,\N
"ab70","39","39","38","39","38","37","34","34","24.145.46.74","2025"
"b1704b","9","8","8","8","7","8","6","5","108.73.136.66","2146"
"b509f0","2","2","4","4","9","7","5","4","72.228.82.107","1997"
"bb5725","25","25","26","25","26","25","25","25","216.160.67.113","1909"
"bb8c17","24","24","24","24","24","23","22","22","108.2.12.118","1213"
"bbc0","49","49","49","49","48","49","41","41","24.214.93.148","955"
"be2f","47","48","47","47","45","44","47","46","108.253.177.26","2011"
"bfbfef","4","4","3","2","2","2","2","7","24.228.1.81","2883"
"c2ee74","3","3","2","3","3","3","4","3","67.162.218.175","1732"
"c3f133","13","13","13","13","13","12","11","11","97.71.70.172","1529"
"c7e2","22","22","23","23","23","24","23","23","66.55.144.247","1696"
"c81f","52","52","52","52","51","53",\N,\N,\N,\N
"d0cc61","8","7","7","7","6","5","3","2","24.253.29.101","1498"
"d10245","48","47","48","48","49","50","49","49","204.9.7.34","3097"
"d47a64","32","32","32","32","32","32","32","32","107.77.80.117","1504"
"d8ec4c","18","18","16","16","14","14","15","15","100.2.179.246","1863"
"e2d6c5","34","34","34","35","34","34","36","38","67.172.9.150","2553"
"ef85","5","5","5","5","4","4","8","8","69.171.172.43","2937"
"f56e83","14","14","14","14","15","19","14","14","108.52.64.172","1966"
"f919d4","7","9","10","10","10","10","9","9","184.57.113.236","3222"
"fb8586","54","54","54","54","53","54","50","50","71.251.25.164","517"
"fd246e","38","38","40","40","39","40","38","37","184.21.213.243","2381"
