"125","b00b","true","99","true","true","true","true","514"
"126","fb7d","false","99","true","true","true","true","405"
"127","bad5","false","99","true","true","true","true","203"
"128","c125","false","99","true","false","true","true","758"
"129","faa37a","false","99","true","false","true","true","767"
"130","ad5d","false","99","true","true","true","true","941"
"131","9d25","false","99","true","true","true","true","523"
"132","e7a7","false","99","true","true","true","true","118"
"133","c5974c","false","10","true","true","true","true","311"
"134","dd7f5c","false","99","true","true","true","true","228"
"135","489332","false","99","true","true","true","true","456"
"136","f9bf2e","false","99","true","true","true","true","78"
"137","8b3a","false","99","true","true","true","true","203"
"138","0a6c51","false","99","true","true","true","true","225"
"139","3180","false","99","true","true","true","true","196"
"140","50e865","false","99","true","true","true","true","200"
"141","a98a03","false","99","true","true","true","true","100"
"142","79cfb5","false","99","true","true","true","true","161"
"143","86fae0","false","99","true","true","true","true","372"
"144","3cf313","false","99","true","true","true","true","133"
"145","41c7ef","false","99","true","true","true","true","546"
"146","97d88d","false","99","true","true","true","true","305"
"147","9bf1","true","99","true","true","true","true","268"
"148","2cf312","false","99","true","true","true","true","129"
"149","b526","false","99","true","true","true","true","136"
"150","de600f","false","99","true","true","true","true","458"
"151","c9f8","false","99","true","true","true","false","251"
"152","eb67","false","99","true","false","true","true","266"
"153","c959","false","99","true","true","true","true","270"
"154","9d13","true","99","true","true","true","true","293"
"155","666f59","false","99","true","true","true","true","363"
"156","641c","false","99","true","true","true","true","15"
"157","e9cfb9","false","99","true","true","true","true","211"
"158","0f8310","false","99","true","true","true","true","172"
"159","df71","false","99","true","true","true","true","274"
"160","23aa","false","99","true","true","true","true","156"
